id,proximity_score
2,0.1643989873053573
3,0.0
9,0.13483997249264842
16,0.1781741612749496
17,1.0
18,0.08058229640253803
20,0.08058229640253803
21,0.08058229640253803
23,1.0
27,0.21566554640687682
34,0.1655211777204736
35,0.5773502691896258
37,0.1125087900926024
38,0.1125087900926024
48,0.31622776601683794
51,0.0
65,1.0
69,0.20628424925175867
75,0.0
81,0.0
85,1.0
88,0.19245008972987526
90,0.0
92,0.0
101,0.19245008972987526
105,0.7071067811865475
106,1.0
113,0.13303802104754786
114,0.13303802104754786
117,0.09534625892455924
120,0.5773502691896258
122,0.2581988897471611
123,0.18569533817705186
125,0.18569533817705186
127,0.18569533817705186
136,0.17541160386140586
138,0.17541160386140586
143,0.21081851067789195
147,0.0
149,1.0
150,0.0
157,0.31622776601683794
158,0.31622776601683794
162,0.14002800840280097
164,0.0
165,1.0
166,0.19802950859533489
172,0.0
177,0.4082482904638631
178,0.21320071635561041
179,0.19611613513818404
181,0.13801311186847084
182,0.13801311186847084
186,0.13801311186847084
191,0.5
193,0.5
195,0.0
201,0.18569533817705186
202,0.7071067811865475
203,0.18569533817705186
205,0.18569533817705186
210,0.35355339059327373
214,0.1414213562373095
215,1.0
223,0.0
226,0.1466471150213533
227,0.1466471150213533
233,1.0
241,0.5773502691896258
245,0.35355339059327373
255,0.15523010514126656
257,0.0
259,0.15339299776947407
261,1.0
266,0.15339299776947407
270,0.0
272,0.0
275,1.0
276,1.0
284,0.23570226039551587
290,0.13423121104280486
293,0.16329931618554522
294,0.3779644730092272
297,0.0
305,0.0
314,0.11322770341445956
318,0.7071067811865475
319,1.0
323,0.1421338109037403
327,0.1421338109037403
331,0.1421338109037403
334,0.1421338109037403
335,0.1421338109037403
340,0.0
341,0.7071067811865475
343,1.0
346,1.0
347,0.0
350,0.12964074471043288
351,0.0
354,0.20412414523193154
355,0.20412414523193154
359,0.21081851067789195
361,0.17149858514250882
363,0.5
365,0.17149858514250882
373,0.22086305214969307
374,0.22086305214969307
375,0.22086305214969307
385,0.0
389,1.0
397,0.0
400,0.14433756729740646
401,0.105999788000636
402,0.3779644730092272
403,0.1690308509457033
407,0.14433756729740646
408,0.14433756729740646
411,0.0
413,0.14433756729740646
418,1.0
421,0.4472135954999579
422,0.3779644730092272
440,0.5773502691896258
444,0.5773502691896258
445,0.5773502691896258
446,0.09622504486493763
447,0.2773500981126146
452,0.35355339059327373
454,0.35355339059327373
455,0.35355339059327373
456,1.0
458,1.0
459,1.0
461,0.20412414523193154
468,1.0
469,0.4472135954999579
470,0.16222142113076254
473,0.19611613513818404
475,0.13130643285972254
476,1.0
478,0.3333333333333333
479,0.31622776601683794
480,0.24618298195866545
481,0.24618298195866545
485,0.0
491,0.7071067811865475
492,0.4082482904638631
497,0.7071067811865475
500,1.0
501,0.0
508,0.16783627165933782
511,0.16783627165933782
516,1.0
517,0.0
524,1.0
533,0.1543033499620919
536,0.15075567228888181
542,0.0
544,0.2
549,1.0
551,1.0
557,0.20412414523193154
559,0.10976425998969035
562,1.0
563,0.30151134457776363
568,0.17025130615174972
571,0.17025130615174972
572,0.30151134457776363
573,0.0
576,1.0
581,0.5773502691896258
582,0.4472135954999579
583,0.7071067811865475
584,0.7071067811865475
585,0.08006407690254357
591,0.08006407690254357
593,0.7071067811865475
595,0.10101525445522107
600,0.17407765595569785
605,1.0
606,0.16666666666666666
611,0.16666666666666666
619,0.14907119849998599
626,0.1543033499620919
630,1.0
634,0.20851441405707477
635,1.0
636,0.19245008972987526
637,0.0
640,0.13074409009212268
642,0.13608276348795434
643,0.13074409009212268
644,1.0
646,0.12964074471043288
652,0.2886751345948129
653,0.0
659,0.0
660,0.0
661,0.128564869306645
662,0.14990633779917228
663,1.0
666,0.5773502691896258
668,0.14990633779917228
669,0.14990633779917228
670,0.7071067811865475
671,0.7071067811865475
674,0.2773500981126146
677,1.0
679,1.0
680,0.4472135954999579
682,0.4082482904638631
686,1.0
687,1.0
688,0.15811388300841897
690,0.16666666666666666
691,1.0
696,0.19425717247145283
700,0.1543033499620919
712,1.0
713,0.15617376188860607
715,0.5
718,1.0
722,1.0
726,0.7071067811865475
731,0.2581988897471611
734,0.0
737,0.0
739,0.7071067811865475
740,0.16012815380508713
742,0.4082482904638631
743,0.13423121104280486
745,0.10570328451633798
748,0.0
749,0.2581988897471611
751,0.2581988897471611
753,0.0
756,0.21081851067789195
758,0.14359163172354764
759,0.0
760,0.14359163172354764
763,0.4472135954999579
764,0.0
765,0.22086305214969307
771,0.22086305214969307
773,0.0
778,1.0
784,1.0
787,1.0
790,0.14824986333222023
791,1.0
800,0.4472135954999579
801,0.14824986333222023
811,0.15811388300841897
812,0.0
817,0.0
818,0.0
819,0.0
824,1.0
826,0.1781741612749496
828,0.1386750490563073
831,0.5773502691896258
832,1.0
837,0.24253562503633297
843,0.3779644730092272
844,0.4082482904638631
847,0.2
852,0.21320071635561041
857,0.17677669529663687
862,0.7071067811865475
867,0.0
868,1.0
869,0.7071067811865475
872,0.7071067811865475
876,0.11215443081840887
878,1.0
881,1.0
882,1.0
885,1.0
886,1.0
893,1.0
894,0.0
895,0.14824986333222023
898,0.14824986333222023
899,0.13608276348795434
902,0.25
908,1.0
909,1.0
910,0.16012815380508713
912,0.0
918,0.1781741612749496
922,0.0
923,0.20628424925175867
928,0.0
929,0.1259881576697424
934,1.0
940,1.0
944,0.0
954,1.0
958,1.0
962,0.22086305214969307
963,0.0
969,0.5773502691896258
974,0.0
978,0.12171612389003691
984,0.5773502691896258
991,1.0
1000,0.16329931618554522
1001,0.0
1004,0.5
1007,1.0
1008,1.0
1019,0.2
1020,0.18257418583505536
1022,0.17677669529663687
1026,0.22360679774997896
1028,0.0
1031,0.15339299776947407
1038,0.16222142113076254
1040,0.0
1051,0.35355339059327373
1053,0.7071067811865475
1056,0.0
1060,1.0
1062,0.3779644730092272
1065,0.5773502691896258
1068,0.5773502691896258
1072,0.20628424925175867
1073,0.4472135954999579
1074,0.3779644730092272
1076,0.19069251784911848
1080,0.0
1081,0.16012815380508713
1083,0.16012815380508713
1084,0.16012815380508713
1086,0.3779644730092272
1090,0.19069251784911848
1095,0.0
1097,0.15249857033260467
1098,0.15249857033260467
1101,0.0
1103,0.18569533817705186
1104,0.0
1107,1.0
1108,0.0
1116,1.0
1121,0.159111456835146
1128,0.159111456835146
1129,0.159111456835146
1132,0.159111456835146
1134,0.15075567228888181
1135,1.0
1138,0.17407765595569785
1142,0.17407765595569785
1145,0.5773502691896258
1146,0.1643989873053573
1148,0.17407765595569785
1151,0.17407765595569785
1155,0.20412414523193154
1159,0.3779644730092272
1164,0.1259881576697424
1165,0.0
1168,0.7071067811865475
1171,0.10878565864408424
1172,0.10878565864408424
1176,0.10878565864408424
1177,0.10878565864408424
1180,0.0
1185,0.254000254000381
1191,1.0
1192,1.0
1195,0.09805806756909202
1196,0.7071067811865475
1205,0.1889822365046136
1206,0.1889822365046136
1208,0.21320071635561041
1212,0.22360679774997896
1215,0.0
1216,0.22360679774997896
1218,0.2626128657194451
1220,0.0
1224,0.5
1227,0.5
1228,0.15713484026367722
1230,0.15713484026367722
1231,0.15713484026367722
1237,0.5773502691896258
1238,0.2886751345948129
1243,0.7071067811865475
1248,0.7071067811865475
1252,1.0
1253,1.0
1257,0.0
1266,0.0
1267,0.0
1273,0.22645540682891913
1275,1.0
1276,0.7071067811865475
1279,0.30151134457776363
1287,0.7071067811865475
1289,0.4082482904638631
1291,0.7071067811865475
1296,0.16116459280507606
1300,0.0
1302,0.14285714285714285
1303,0.17149858514250882
1316,0.1111111111111111
1317,0.1111111111111111
1320,0.5
1323,0.0
1326,0.7071067811865475
1335,1.0
1338,1.0
1340,0.12964074471043288
1344,0.15811388300841897
